"","genes","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","NM_022521",13003.2330874251,1.75348079571411,0.248004201056461,8.6049527741511e-14,2.97157702467351e-10
"2","NM_012608",64.2717958933585,-2.87289092040004,0.418759951460859,3.34993029482795e-13,8.67631946360438e-10
"3","NM_022297",2889.67581527298,-0.921603640779966,0.145496985574452,1.25752478351763e-11,1.5845143296223e-08
"4","NM_134329",285.886804959616,-1.50351714072399,0.230491853628017,3.30289805705915e-12,4.88828912444754e-09
"5","NM_022866",1108.62841287914,-2.4059342249129,0.382610469946066,1.39296042178621e-11,1.5845143296223e-08
"6","NM_022635",368.182405821938,-1.4706086280972,0.233854816727002,1.52945398612192e-11,1.5845143296223e-08
"7","NM_053883",1311.11988886001,-1.16307021697746,0.170640835348838,4.87598753682462e-13,1.01030461763006e-09
"8","NM_012541",80314.949642828,3.6890775157926,0.182217013552551,3.64698687380221e-92,3.77827840125908e-88
"9","NM_130407",546.286388504311,3.35116429080841,0.218471050712549,2.75457616613262e-54,1.4268704540567e-50
"10","NM_017061",127.0702294623,-2.18843594906409,0.330369363869492,1.66365167966309e-12,2.87257190021827e-09
