"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_012541",80314.949642828,3.6890775157926,0.182217013552551,3.64698687380221e-92,3.77827840125908e-88
"NM_130407",546.286388504311,3.35116429080841,0.218471050712549,2.75457616613262e-54,1.4268704540567e-50
"NM_022521",13003.2330874251,1.75348079571411,0.248004201056461,8.6049527741511e-14,2.97157702467351e-10
"NM_012608",64.2717958933585,-2.87289092040004,0.418759951460859,3.34993029482795e-13,8.67631946360438e-10
"NM_053883",1311.11988886001,-1.16307021697746,0.170640835348838,4.87598753682462e-13,1.01030461763006e-09
"NM_017061",127.0702294623,-2.18843594906409,0.330369363869492,1.66365167966309e-12,2.87257190021827e-09
"NM_134329",285.886804959616,-1.50351714072399,0.230491853628017,3.30289805705915e-12,4.88828912444754e-09
"NM_022297",2889.67581527298,-0.921603640779966,0.145496985574452,1.25752478351763e-11,1.5845143296223e-08
"NM_022866",1108.62841287914,-2.4059342249129,0.382610469946066,1.39296042178621e-11,1.5845143296223e-08
"NM_022635",368.182405821938,-1.4706086280972,0.233854816727002,1.52945398612192e-11,1.5845143296223e-08
"NM_175761",2254.2446498595,-1.14480306414959,0.189133814782159,7.24374465247056e-11,6.822290418145e-08
"NM_147206",1071.57497642351,-2.30338092399759,0.404603683794295,5.73157715325306e-10,4.73598540763622e-07
"NM_031970",329.169007559946,-2.46250750252996,0.434022558957263,5.94283883197595e-10,4.73598540763622e-07
"NM_012778",474.504882104815,0.991803147957459,0.175659512462647,8.89642872168747e-10,6.58335725404873e-07
"NM_001109440",1535.27888011139,-2.78452078761138,0.513017382884422,2.28135706546845e-09,1.57565727988354e-06
"NM_012540",651.180019159096,5.94469867002709,1.12537384453532,4.54572457713747e-09,2.94335666369651e-06
"NM_001106265",2157.47778970426,0.94538192782872,0.182326828161931,1.15749904895532e-08,7.05393538069244e-06
"NM_012692",10517.2240885812,0.623815115125892,0.119777672448051,1.33813497964645e-08,7.70171021618737e-06
"NM_138502",1475.719845687,-1.32353064475976,0.260954178251473,1.81089642241413e-08,9.8741510190581e-06
"NM_001033066",918.160205320962,2.41519404097235,0.485339651401714,2.75808856656245e-08,1.42868987747935e-05
"NM_013200",241.934385125211,-2.62084508438765,0.549050433072431,7.09998639258534e-08,3.50265995367543e-05
"NM_033352",59.065933969521,-2.3697267717262,0.508346967722962,1.37358278784257e-07,6.18709464436916e-05
"NM_024351",202.610389410464,-1.29513358537831,0.276919342830725,1.32491122580309e-07,6.18709464436916e-05
"NM_001013087",172.810412093925,-1.16123155810606,0.25246314108369,1.97213249280086e-07,8.51303859392373e-05
"NM_001011901",2031.3595339672,-1.25173592004986,0.274486460748895,2.29517782732711e-07,9.51121691644353e-05
"NM_172034",134.72234881056,1.16222908942439,0.25669871045027,2.90543446176069e-07,0.000115770388553234
"NM_012695",645.165727729217,2.26814882614426,0.511373675943588,3.74706387804137e-07,0.000138641363487531
"NM_001109202",409.027709486229,0.803940005491744,0.178494714024264,3.734273769929e-07,0.000138641363487531
"NM_173295",5212.096182034,1.44657051561564,0.327475030594429,4.23422346471056e-07,0.000151263983084143
"NM_031315",212.658512139134,-0.0290366784334594,0.148541790585157,5.21837729675618e-07,0.000174394802562561
"NM_130433",12370.6266591168,-1.40817232930548,0.321938477429777,5.1870164705789e-07,0.000174394802562561
"NM_001109022",609.293583489542,-0.126877472458259,0.251201413666716,7.78100584095067e-07,0.000251910064100778
"NM_001013889",577.908801368415,-1.51808182644834,0.355630857347439,8.1616808540392e-07,0.000256227314084382
"NM_053019",3327.59354340104,1.40525242522613,0.336097905075703,1.26561092946551e-06,0.000385639094978313
