"","SRR1178014","SRR1178021","SRR1178047","SRR1178064","SRR1178074","SRR1178075"
"NM_001008368",2549.47680237108,2370.65170532017,2322.50510026658,2094.20426551936,2247.11839043149,2408.33957419992
"NM_001106284",46.5961817665733,65.6927580992337,53.3460555243303,10.1223621856468,22.99880351435,17.2670300642535
"NM_001039611",862.029362681607,973.966543992986,956.325629521532,566.852282396219,599.321762168062,584.61230360401
"NM_001012742",422.693934596772,622.65309850578,1074.72785031944,378.463875052237,389.626788948989,297.650708726655
"NM_001105731",16.6414934880619,1.42810343693986,10.4089864437718,11.8094225499212,25.0281097067927,19.7337486448611
"NM_001024899",79.8791687426971,74.2613787208729,105.390987743189,71.4188887542855,89.2894724674765,69.0681202570139
"NM_013070",1371.2590634163,1573.76998750773,1364.87834743957,2088.01837751702,1638.3265326987,1708.61373683422
"NM_001108458",23.2980908832867,11.4248274955189,35.1303292477297,21.3694312808098,36.5275114639677,62.4902040420602
"NM_001107515",309.531778877951,379.875514226003,368.217895448426,59.6094662043643,20.2930619244265,69.0681202570139
"NM_080894",29.9546882785114,45.6993099820756,23.4202194984865,62.9835869329132,68.9964105430501,71.5348388376215
"NM_001190999",209.68281794958,205.64689491934,193.867372515249,176.016631339302,190.754782089609,216.248995566603
"NM_012689",126.47535050927,117.104481829069,117.101097492432,495.433393641933,267.86841740243,418.519919176429
"NM_020093",151.437590741363,201.362584608521,171.748276322234,144.524837872846,149.492222843275,119.224731396036
"NM_001101008",274.584642553021,298.473618320431,271.934770843538,208.633131715275,300.337316481512,209.671079351649
"NM_133406",84.8716167891157,82.829999342512,101.487617826775,83.2283113042068,111.611840584346,76.4682759988368
"NM_001106231",34.94713632493,37.1306893604364,84.5730148556457,39.3647418330708,31.7924636816015,52.6233297196296
"NM_031139",2429.65804925704,1927.93963986881,2066.1838090887,2696.48481556535,2261.99996917607,2598.27690490671
"NM_001039037",183.056428368681,208.50310179322,360.411155615598,206.946071351001,221.87081037373,193.226288814265
"NM_053557",1068.38388193357,901.133268709053,1204.84018086658,485.873384911045,512.738031290509,330.540289801424
"NM_031013",12354.6447655372,7269.0464940239,5955.24136914293,23105.4163956483,23882.9045788575,24686.0973151944
"NM_001127504",3391.53637286702,2254.97532692804,2755.77916098858,4318.31217908786,4413.74096856276,3961.55004045587
"NM_001106268",209.68281794958,191.365860549942,255.020167872408,198.510769529628,245.546049285561,282.850397243009
"NM_001106271",3236.77048342804,4154.35289805806,4008.7609041576,3041.76983678685,3195.48081769969,2770.94720554925
"NM_177481",64.9018246034414,17.1372412432784,13.0112330547147,71.4188887542855,79.8193769027442,106.891138492998
