"","genes","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","NM_001014166",1613.68591920057,-2.90607650633823,0.217218551522188,4.40530150944343e-42,5.38474687837635e-39
"2","NM_001005384",1525.60876638781,3.91627470700638,0.27074166558162,1.21551232412972e-48,2.22864184629184e-45
"3","NM_031048",6993.86936146284,4.22356515828819,0.304619129493455,6.60690088020748e-45,1.03832166547375e-41
"4","NM_144755",2064.0336782779,4.10316646683394,0.274623001709433,8.81869599596951e-52,1.94028949303321e-48
"5","NM_053288",187255.060440644,4.40172592131514,0.335851258130014,1.96905811250676e-40,2.16616082956869e-37
"6","NM_031605",1078.47563779626,3.8241531998245,0.220331268910426,1.36788918433483e-68,5.01604963895583e-65
"7","NM_053699",427.245300056077,6.60954116094417,0.283010583218942,2.87620574738736e-121,3.16411394270083e-117
"8","NM_001130558",2375.68764836433,-7.88519205727292,0.391886041873357,2.65902088205681e-91,1.46259443617535e-87
"9","NM_013105",300555.685522158,4.85847987776392,0.354524502989651,5.6879257015602e-44,7.82160883035797e-41
"10","NM_013033",1002.34256170851,6.00613717250953,0.361433009085822,4.120700357805e-63,1.13329561590532e-59
