"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1390255_at",2.12667194,6.68417762619048,13.4136524949722,3.87383954898405e-17,1.20472536133855e-12,28.5632004517991
"1391570_at",2.02762348666666,5.93142071190476,13.0457474496066,1.03419777492164e-16,1.60812583011441e-12,27.6336969340343
"1377192_a_at",-1.27478744444444,10.7496427142857,-12.7770287979101,2.14135507235096e-16,2.21980004650142e-12,26.9431272744879
"1378029_at",-1.79449204,8.08213341904762,-12.5907511680837,3.56536385895075e-16,2.76257422688754e-12,26.4585886242355
"1372136_at",-0.950069229629627,9.16688035714286,-12.4955001600763,4.63506297791451e-16,2.76257422688754e-12,26.2089697669128
"1371076_at",2.49160128888889,11.8813563809524,12.4449616546709,5.32989657587872e-16,2.76257422688754e-12,26.0760150144841
"1368731_at",1.23861444814815,13.2389711547619,12.3274260267492,7.38490611168528e-16,3.08788337890263e-12,25.7654325380103
"1394022_at",-1.4429734,10.0674093571429,-12.3012380193314,7.94336378379404e-16,3.08788337890263e-12,25.6959696751756
"1384408_at",1.98604839555555,6.62145564285714,11.7378651737883,3.89321656545521e-15,1.34527935521213e-11,24.1783833703552
"1371840_at",-1.76739557037037,10.8902858333333,-11.6293688161729,5.31233425753258e-15,1.65208283075006e-11,23.8809975647841
"1384143_at",-1.85928691185185,7.47049497857143,-11.4712308231917,8.37920900630239e-15,2.13297657350248e-11,23.4445727828484
"1371777_at",0.991591277777778,9.70963596428571,11.4663238198024,8.49898103852909e-15,2.13297657350248e-11,23.4309741456725
"1387109_at",2.35482021851852,9.58803153571429,11.449760130544,8.91626594280594e-15,2.13297657350248e-11,23.385046583977
"1380336_at",1.26865649111111,6.68974645952381,11.3579584019068,1.16367874805375e-14,2.5365464242579e-11,23.1297982900892
"1373068_at",0.971114377777776,8.60902085238095,11.3407318229628,1.22345401343672e-14,2.5365464242579e-11,23.0817685001683
"1388348_at",-0.812290203703701,12.3724372261905,-11.2881407837947,1.425953729221e-14,2.77160843906524e-11,22.9348793197546
"1388874_at",0.939356370370371,10.8296857142857,11.2351453202454,1.66453218173099e-14,3.04501684233247e-11,22.7864659347903
"1368213_at",2.44068795555555,9.44654058095238,11.1664410482375,2.03530565463426e-14,3.51644280852615e-11,22.5934706542318
"1387630_at",-1.14177028518518,10.5309794166667,-10.9723272431696,3.60432855344224e-14,5.76637591697424e-11,22.0445972906276
"1370269_at",2.25651167851852,5.83939550952381,10.9627019162624,3.70839957360317e-14,5.76637591697424e-11,22.0172428650289
"1383486_at",-2.50179084888889,8.59087979047619,-10.9398153177539,3.96827277506817e-14,5.87663404913547e-11,21.9521486423352
"1390107_at",-1.56709602444444,6.17540025952381,-10.7790606527397,6.39795086297762e-14,9.04408517671551e-11,21.4928565445887
"1369012_at",-1.0534159562963,6.15375211190476,-10.7570375929959,6.8323904515606e-14,9.23828307187317e-11,21.4296522677245
"1367982_at",1.61365165925926,10.9722429047619,10.706842781156,7.93786592626929e-14,1.0285820518377e-10,21.2853438300921
"1378126_at",0.633119471111111,6.19062725238095,10.68455511103,8.48533035624841e-14,1.05554115499588e-10,21.2211545560939
"1370374_at",-1.53768412518518,7.82085528333333,-10.6346091657084,9.85551664567235e-14,1.17883350832217e-10,21.0770565100146
"1395403_at",-3.90274852074073,9.43391131666667,-10.5961367865804,1.10624415921536e-13,1.27418841138661e-10,20.9658233114829
"1397519_at",-0.888213259259257,9.82338173809524,-10.5681143486643,1.20350242568394e-13,1.33670435486946e-10,20.8846736555535
"1372051_at",1.76448560666667,7.36307713095238,10.4539906374178,1.69800872579627e-13,1.8209094263289e-10,20.5530569715632
"1387805_at",0.850465792592593,9.49618619047619,10.4106848884911,1.93578418247315e-13,2.00669840969109e-10,20.4267477053325
"1374945_at",1.33874688444444,6.55864574285714,10.3695324125341,2.19300958101236e-13,2.20001306322269e-10,20.3064784002724
"1389069_at",-0.932029925925924,8.41574142857143,-10.308582064596,2.63914837031202e-13,2.56483984901042e-10,20.12791961677
"1390165_at",-1.02550970296296,8.44481849761905,-10.2900358292171,2.79239086954407e-13,2.6315322318773e-10,20.0734853849803
"1379226_at",-1.44164432518518,7.63297434523809,-10.2503940664226,3.15089708844276e-13,2.88205142804357e-10,19.956975971168
"1381350_at",-1.19815341037037,7.05820723809524,-10.0765562514754,5.36410747399132e-13,4.7662393809616e-10,19.443514964804
"1398759_at",-1.76975758518518,11.0447179047619,-9.95147969450267,7.88448063652987e-13,6.81109620320673e-10,19.0715354370853
"1389318_at",-0.781927155555555,9.11666069047619,-9.90704183683122,9.04500725089940e-13,7.60245082420867e-10,18.9388679407688
"1383604_at",-1.0083915237037,7.82787554047619,-9.88962277675722,9.54585061491513e-13,7.81227390192751e-10,18.886791583687
"1396545_at",-1.10856159703704,5.56071778095238,-9.87647476228986,9.94242454040284e-13,7.92819130210225e-10,18.8474570618004
"1383946_at",-2.62390220888889,6.81454712380952,-9.83706617152684,1.12339810875588e-12,8.73413944604977e-10,18.7294208471362
"1392929_at",-1.39131291481481,8.32797584523809,-9.82056948917581,1.18239356710215e-12,8.96859940080729e-10,18.6799484981141
"1394494_at",-0.934145528888888,7.90890895238095,-9.72549013209122,1.58913869760554e-12,1.17668153230559e-09,18.3941062088772
"1370141_at",0.646335788888889,8.75546348809524,9.68338259738341,1.81209405197673e-12,1.28852954703915e-09,18.267133173369
"1383439_at",-2.57488553851851,6.85164030714286,-9.68144952498305,1.82305862149017e-12,1.28852954703915e-09,18.2612984775478
"1389113_at",-1.00684567629629,6.7337935547619,-9.63170092665772,2.12957810156528e-12,1.47172776401286e-09,18.1109704365557
"1378027_at",-0.818954103703704,9.72103042857143,-9.61094553507493,2.27243208568192e-12,1.51919270161993e-09,18.0481566757932
"1398597_at",-1.26896165481481,6.19978755714286,-9.60765432760661,2.29595990148032e-12,1.51919270161993e-09,18.0381910389879
"1379264_at",-0.865374599999998,10.4172828095238,-9.57649352299245,2.53131554542166e-12,1.64002879473059e-09,17.9437672663909
"1398468_at",-1.15073888518518,7.31527207857143,-9.54272843366067,2.81402744775011e-12,1.76008206832643e-09,17.8413089989753
"1389681_at",-1.21254352074074,7.98307521666667,-9.54094663091588,2.82980492672824e-12,1.76008206832643e-09,17.8358980976822
"1387203_at",-0.994571585185187,10.667002547619,-9.5331447529194,2.89995029399462e-12,1.76834419986154e-09,17.8122008356714
"1384112_at",-0.951331888888887,9.92014633333333,-9.52151787687253,3.00776621192665e-12,1.7988177197059e-09,17.7768709405341
"1379636_at",-1.34649528,8.64295899523809,-9.51073727465713,3.11135837860893e-12,1.82566290974262e-09,17.7440969036268
"1390801_at",-1.15237754074074,5.4320057,-9.44487847413139,3.82755345914272e-12,2.20431638936814e-09,17.5435537904251
"1398698_at",-1.18048161555555,7.9322245452381,-9.43396993670987,3.96137144785771e-12,2.20603110348549e-09,17.5102828430465
"1371598_at",-0.741680981481482,10.6222809166667,-9.43308742167205,3.97240238577405e-12,2.20603110348549e-09,17.5075905113178
"1398514_at",-1.08145940740741,10.6016099047619,-9.41474960512773,4.20878343251149e-12,2.2962974731171e-09,17.451623829843
"1374180_at",0.822658388888887,9.19160184523809,9.3820038324949,4.66688423565345e-12,2.5023350490446e-09,17.3515772504906
"1383288_at",0.964107188888888,7.92395447380952,9.35253228832929,5.12222261980135e-12,2.69993222463055e-09,17.2614172721424
"1370698_at",1.51270101111111,11.6730470833333,9.34146866143104,5.30454347750058e-12,2.74943329344651e-09,17.2275426619242
"1373418_at",0.658192518518517,10.7210735714286,9.32789204631209,5.53727842036868e-12,2.82301346877124e-09,17.185952554859
"1380863_at",-0.619417665185184,4.97286335714286,-9.31346529927876,5.79592593824203e-12,2.90721775408692e-09,17.1417325892561
"1378925_at",-1.05212829629629,10.0141175238095,-9.21012913835105,8.04355587094907e-12,3.97058006397850e-09,16.8242265327892
"1375120_at",-1.35312901037037,8.38755300952381,-9.20355983708019,8.2132381246409e-12,3.99099206934699e-09,16.8039967739097
"1382443_at",1.27483941851852,7.88298647380952,9.17460868523827,9.00525753821601e-12,4.21650216683329e-09,16.714779501749
"1368905_at",2.02789935555555,8.32109354761905,9.1733403576409,9.04167049352526e-12,4.21650216683329e-09,16.7108685815608
