"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1398250_at",9.54935095185184,5.93322478611111,186.927044387657,2.11068358265218e-58,6.56401487369001e-54,98.2396904240279
"1388211_s_at",6.89080202962962,8.21700003333333,61.7225859198358,5.20119160059707e-40,8.08759287934841e-36,77.3171960825694
"1370491_a_at",5.66314209259258,6.65702543055556,51.5271913517715,4.89057800811518e-37,5.06973618247913e-33,71.922746430293
"1367742_at",5.43716961481481,7.15755901111111,49.1135099677871,3.00017698877006e-36,2.332562604344e-32,70.4225793446213
"1390358_at",4.63315699629629,5.437792475,47.6120201809652,9.69125995899439e-36,6.02776986929533e-32,69.438596688597
"1377867_at",5.37013844074073,5.19596005833333,44.7501216856058,1.00353136470402e-34,5.20147031848839e-31,67.4455561873282
"1367680_at",2.09751653703704,12.4816332638889,41.9269912904199,1.16453987685168e-33,5.17371794717293e-30,65.313360774313
"1380536_at",5.41266048888888,6.08480241111111,40.4989057837524,4.27735112605181e-33,1.66276678336357e-29,64.1655283223224
"1375845_at",4.61197586666666,8.27343887777778,39.9172932274447,7.35810487541923e-33,2.5425522613407e-29,63.6837794755323
"1384474_at",4.42011035185185,5.40529286944444,38.9832155381734,1.78677182389616e-32,5.55668169513465e-29,62.8920363138162
"1387783_a_at",2.73929788888888,12.2247811388889,37.354479176682,8.81911481631093e-32,2.49332410611322e-28,61.4557026016428
"1387574_at",3.34733672222222,5.442187025,34.2221973173238,2.30810899509661e-30,5.59352433363058e-27,58.4756180099608
"1368283_at",3.36056942592592,11.8157369305556,34.2102757710717,2.33820432609401e-30,5.59352433363058e-27,58.4636851947385
"1380004_at",2.7209961037037,5.71683687777778,33.0230085014315,8.68161158653434e-30,1.92849599092594e-26,57.2512169886343
"1368206_at",2.09840088888889,8.79325227777778,31.7592309480497,3.68501257808005e-29,7.64001374438077e-26,55.9059705451249
"1387100_at",4.6985117037037,4.80980782222222,31.3011615770397,6.3060004275353e-29,1.2256894205995e-25,55.4037406393914
"1370313_at",2.75839003703703,9.18019297222222,31.0097675277416,8.90894502457528e-29,1.62976047834863e-25,55.0800571924249
"1374187_at",3.88902975185185,4.55785469722222,28.7498805713839,1.44523971706613e-27,2.49697277561331e-24,52.4526697634806
"1378169_at",4.9821173074074,6.65977435277778,28.7035989709597,1.53328534064087e-27,2.50966530571528e-24,52.3965879865169
"1384064_at",2.90568424814814,4.61792868055556,27.5977105309813,6.46871075951556e-27,1.00585217955087e-23,51.0275811463581
"1368355_at",3.05455659259259,5.57568928888889,26.8012046973552,1.88515534894558e-26,2.79173553318374e-23,50.0058123431707
"1388908_at",1.57913718518518,11.4715032777778,26.3358065240467,3.56917336569901e-26,5.04535102272152e-23,49.3942755420564
"1385343_at",2.23057157407407,4.24956273055556,25.659831399952,9.18658632521803e-26,1.2421462962085e-22,48.4862104460886
"1391433_at",3.58966615185185,9.17831083055555,25.377098504626,1.37328039248008e-25,1.77948528857241e-22,48.099232844207
"1368037_at",1.89261831851852,7.62082792777778,24.9366253656545,2.58975950679709e-25,3.2215572360753e-22,47.4876821409831
"1376813_at",1.51985344444444,9.64869880555556,24.7571880993739,3.36302990152278e-25,4.02257180413296e-22,47.2354663393827
"1374475_at",2.58036517777777,9.08471556111111,24.3695597134953,5.94786690925399e-25,6.70881494200573e-22,46.6843902383108
"1367660_at",5.66316088888888,7.41218138888889,24.3591526937556,6.0402848444053e-25,6.70881494200573e-22,46.6694761769755
"1395510_at",2.26966817407407,7.566560425,24.2091073328934,7.54887476532253e-25,8.09525711471605e-22,46.4537510544195
"1390457_at",3.82489588888888,7.37626308333333,23.7270320327611,1.55804200864128e-24,1.61511828089117e-21,45.7516915501847
"1384244_at",2.97741533333333,10.1657993888889,23.6428436291138,1.77056262404862e-24,1.77621700146091e-21,45.6276616556379
"1370814_at",1.45539729629629,10.8444163055556,23.5728005438221,1.96990341388805e-24,1.91443832089076e-21,45.5241441208211
"1389251_at",2.56007698148148,9.45038054166667,23.2834655536196,3.06989914390577e-24,2.89305434776744e-21,45.0933534410029
"1367659_s_at",3.32623133333333,11.5340915555556,23.2179756159204,3.39645583918635e-24,3.10665823949577e-21,44.9951285197828
"1370964_at",-2.17740037037037,12.8048882777778,-23.0330406311107,4.52463398771006e-24,3.97797593158948e-21,44.7163084133136
"1387740_at",4.0618266037037,7.26365238055556,23.021746775992,4.60487904875467e-24,3.97797593158948e-21,44.6992114741863
"1369011_at",-1.56613977777778,11.7829516111111,-22.4289054522652,1.17115859406722e-23,9.84374624780985e-21,43.7903107249092
"1376076_at",3.09575874814815,6.70552249444444,22.2773187326955,1.49196444679352e-23,1.22101585081136e-20,43.5542435992905
"1379361_at",3.48310341481481,9.00129066111111,22.2395539337058,1.5850701351836e-23,1.263951182925e-20,43.4951958811014
"1375349_at",2.10392835185185,8.97816184722222,21.6665047374946,4.01560416280004e-23,3.12203184647296e-20,42.5874302818627
"1393915_at",1.4706034074074,10.6792326666667,21.6434927153001,4.17015598536322e-23,3.1631141704588e-20,42.5505093513302
"1368934_at",3.09379933333333,11.6084850555556,21.5222475280245,5.09112599356563e-23,3.76973636366423e-20,42.3553752756834
"1386916_at",1.67951664814815,10.2604931805556,21.2722654011213,7.70567014118911e-23,5.57299152839163e-20,41.949805926976
"1397468_at",3.1953595074074,9.18224698055556,21.1966765083291,8.74159512640438e-23,6.17851970081932e-20,41.826302054465
"1388210_at",4.21055307777777,6.745883025,20.9996643557,1.21660310955311e-22,8.27133656404911e-20,41.502487133458
"1368317_at",4.1700028074074,6.44703622777778,20.9914667442119,1.23352216701554e-22,8.27133656404911e-20,41.4889528098762
"1398249_at",1.82611716666667,9.98636401388889,20.9835694525774,1.25004925724399e-22,8.27133656404911e-20,41.4759097241278
"1368475_at",2.56670143333333,5.71163070277778,20.8308852357806,1.61823507154891e-22,1.04844776021041e-19,41.2228487127231
"1368622_at",1.90808398148148,4.47818839166667,20.326677686176,3.83926199874114e-22,2.4366777326296e-19,40.3749699580766
"1367927_at",1.09547937037037,10.6807695833333,19.9386319134263,7.55686834680269e-22,4.70022097434434e-19,39.7093687088609
"1381722_at",2.60137908888889,5.55635896111111,19.7141491548441,1.12369513287584e-21,6.78476454378846e-19,39.3189994458433
"1370164_at",1.70600737037037,11.5071445277778,19.7087771776542,1.13446656251648e-21,6.78476454378846e-19,39.3096092501281
"1370067_at",2.30195212962963,10.5586470694444,19.5698432134231,1.45301764681148e-21,8.52592373550761e-19,39.0659593342235
"1369150_at",3.70397688518518,9.25214266944444,19.5403316878067,1.53172866551077e-21,8.68835105341786e-19,39.0140070352726
"1379326_at",1.12088481481481,12.2495948333333,19.5385658572874,1.53657451345054e-21,8.68835105341786e-19,39.0108962502308
"1380431_at",2.51271535185185,8.02661876388889,19.5264828103088,1.57015698840128e-21,8.71969860398062e-19,38.9896033982785
"1381793_at",2.65430956296296,7.02197327222222,19.3704354320057,2.07794763838944e-21,1.13372094046093e-18,38.713562927534
"1388410_at",-2.0539857962963,11.4345552361111,-19.1697937473009,2.98736400414678e-21,1.60179367525794e-18,38.3557417456749
"1367694_at",1.7289612037037,11.7310760416667,19.0349158187013,3.81967915535412e-21,2.01335935681962e-18,38.1133506004415
"1394816_at",1.58023751481481,4.91152746388889,18.9311549131893,4.61912975944744e-21,2.3941719398176e-18,37.9258565510086
"1370818_at",1.47119664814814,10.9520796805556,18.5998108034355,8.5230559241376e-21,4.34522157679927e-18,37.3210830913158
"1386880_at",1.31941818518518,12.7529355277778,18.4071018876729,1.22203509575018e-20,6.12968861979595e-18,36.9650542285308
"1367702_at",0.978125925925925,12.6436576111111,18.3135777737688,1.4571489112399e-20,7.19299587153167e-18,36.791114039636
"1388489_at",1.70302979629629,11.6356935416667,18.1183149726373,2.10895869286127e-20,1.0247891623327e-17,36.4254956990939
"1368977_a_at",1.6598110037037,7.87068480277778,17.9486752738772,2.91531327012674e-20,1.39482042134879e-17,36.1051253164516
"1367642_at",1.11150303703704,11.1018220555556,17.8903299204671,3.26056205124161e-20,1.53636695805398e-17,35.9943456746006
"1370831_at",2.08605416666666,10.0358124305556,17.7764190552396,4.06025930414248e-20,1.88462692685861e-17,35.7771834924732
"1376296_at",3.57363333333333,5.17880143333333,17.574386523253,6.00758889952251e-20,2.74750010568016e-17,35.3891331915548
"1367635_at",-0.847404222222222,12.5923500555556,-17.5213772578584,6.66189407740863e-20,3.00258324512074e-17,35.2866989711903
"1389179_at",3.68817738888888,7.63297640277778,17.5130557229568,6.77104227139922e-20,3.00818062283206e-17,35.2705951158955
"1367897_at",1.33531444444444,10.8355533888889,17.4536256046059,7.60566044582186e-20,3.26265691380866e-17,35.1554001917823
"1389583_at",1.88549113703704,4.50000058055556,17.4513764794519,7.63923791483098e-20,3.26265691380866e-17,35.1510342494885
"1387296_at",2.03130685185185,9.77819875,17.4500859527128,7.65857277430247e-20,3.26265691380866e-17,35.1485289018693
"1378074_at",3.59797424444444,10.1857688722222,17.4081736067559,8.31449414350433e-20,3.49422234282218e-17,35.0670790852478
"1367672_at",1.03436372222222,11.9591250416667,17.3101087184113,1.00832410736456e-19,4.18104952199072e-17,34.8758684334162
