"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_024162",2298.89748611129,7.83644333097961,0.261843250722944,1.02621367103166e-196,1.12893765950193e-192
"NM_012737",2516.93729841867,-6.72217289923694,0.242294129102705,2.41908377212892e-170,1.33061702885951e-166
"NM_131903",9517.62868828989,-5.13354857429115,0.251710551541188,1.08672110180712e-93,3.59046440628239e-90
"NM_019157",439.505179151196,5.98867343874264,0.292377358869404,1.30550473821739e-93,3.59046440628239e-90
"NM_017158",2723.53691264361,-6.16355315919778,0.307263990448529,1.07583985947571e-90,2.36706285881847e-87
"NM_053883",994.312154361987,-3.05984216571676,0.157708387659913,4.54543468467035e-85,8.33405449434308e-82
"NM_001014063",2844.46920669594,-4.18158171088121,0.225831038635805,8.37968060639434e-78,1.31692666215634e-74
"NM_012600",13169.1266579659,3.83592287152464,0.207276315527496,2.7219871413347e-77,3.74307256772788e-74
"NM_001013098",2748.58776731857,-5.39256059869206,0.301899969041507,1.16868713975758e-72,1.42852524716368e-69
"NM_001013975",954.782068431303,-3.83557640085371,0.217370487312055,6.54059802961025e-71,7.19531189237423e-68
"NM_012556",163958.74346753,2.02046995580943,0.118101296963754,8.3125227451673e-66,8.31327842905323e-63
"NM_031600",254.937963347142,6.01668429599745,0.354846030207417,1.25437838368469e-64,1.14995138324294e-61
"NM_201423",537.023288182835,5.56497430030644,0.352981018360561,2.58010624678348e-57,2.1833652939127e-54
"NM_130756",785.098601982571,2.20366701326928,0.144440391213031,1.02325334319475e-53,8.04057859177529e-51
"NM_019184",32644.3188694429,-4.92612057567515,0.324335950308215,1.92429970840303e-53,1.41128140614278e-50
"NM_012598",1609.92997491442,4.37134253508822,0.292161079188368,7.49889388709972e-52,5.155958228249e-49
"NM_001109203",977.460413909649,2.97806673312487,0.202150368659443,2.32414454293714e-50,1.50399494805009e-47
"NM_053577",9618.23075100815,-1.70860257769698,0.122260589177238,2.2268408963445e-45,1.36097092781588e-42
"NM_001025639",911.630146160848,5.59637773580819,0.407299065906462,2.29735144170721e-44,1.33016648474848e-41
"NM_017016",3244.38291049914,5.48512587881187,0.411628921278933,8.40129865815289e-42,4.621134326917e-39
"NM_147206",903.414483539966,-5.00416952180127,0.382859899090554,2.23924229157771e-40,1.17304306903078e-37
"NM_024390",284.164709778681,3.86418739691293,0.317410425597664,2.30671149464766e-35,1.15346059784631e-32
"NM_012575",152.929525941396,4.86244544790271,0.400312934519926,4.46407949579524e-35,2.13518863188015e-32
"NM_001024743",4045.02974921331,-1.92299774567312,0.162735615241798,2.07411819199671e-33,9.50723926256494e-31
"NM_024143",8408.1657870913,-1.78660788296532,0.151524109514383,3.23567770817055e-33,1.42382761870337e-30
"NM_031344",34016.3650303781,2.61728189116783,0.226075756095983,1.03066966101423e-31,4.36092190031444e-29
"NM_012541",6757.65812221933,-2.16873506020139,0.194296877529534,4.01238673698987e-30,1.63482468494909e-27
"NM_001014088",362.845733298397,-2.08074721651542,0.186827782336533,5.7835513753581e-30,2.27231602429694e-27
"NM_022635",303.238906163296,-2.78417118167267,0.251778295032337,1.25881214445932e-29,4.77523875903343e-27
"NM_031561",641.023467265638,3.85658370737047,0.353126352605246,4.78298759593428e-29,1.7539215514291e-26
"NM_001134557",315.849421529288,4.23545283460506,0.391620471774149,1.43312334182454e-28,5.08573867206831e-26
"NM_022623",1716.95419392639,-2.26899713786193,0.212308070356556,7.29197205279833e-28,2.50684326727608e-25
"NM_178091",5307.27965827076,-2.66454355975985,0.252652009779424,2.91363653814313e-27,9.71300471397352e-25
"NM_017075",21132.1564631412,2.33012306697547,0.223401388936222,1.40758450116432e-26,4.55436385214961e-24
"NM_013157",21896.4451694153,-2.44413766509879,0.238159853573013,6.16540785726527e-26,1.93787576679358e-23
"NM_001130579",301.254518621025,1.80141171634178,0.176722254138265,1.69788360490141e-25,5.18844931597788e-23
"NM_013112",10198.1235109743,-2.17198776395414,0.215693031720402,4.70607059559265e-25,1.39922926005715e-22
"NM_001012189",4301.60090484775,1.51789387474033,0.150496687785886,5.63460301639249e-25,1.63121757324563e-22
"NM_022607",814.440869083494,1.35338155887727,0.134130604094328,6.00551113998979e-25,1.69401610387251e-22
"NM_145771",851.562831595356,2.07820457121995,0.208921728988985,1.76317201119501e-24,4.84916382378907e-22
"NM_053727",893.145183157262,-2.64319975071885,0.274944563747518,4.07075825049035e-23,1.09225393935718e-20
"NM_001008767",6491.73114447102,2.07793097309365,0.217123798825618,7.017620569853e-23,1.83811533068935e-20
"NM_001108552",957.295031480054,-1.21356594721615,0.127445113542814,1.85361151009167e-22,4.73009805766024e-20
"NM_001134780",584.91198609344,2.04436349112441,0.21577767394082,1.89186723513363e-22,4.73009805766024e-20
"NM_001013219",731.243545511077,-1.16090869533974,0.121963578484092,2.04788046721014e-22,5.00638511550638e-20
"NM_001006992",5913.98945376637,-1.24378248174793,0.133647188544205,1.31398562042547e-21,3.14242517615231e-19
"NM_017024",10490.0374043665,-1.51898619729101,0.163713593792686,1.45816356936443e-21,3.41303349501663e-19
"NM_001106368",772.36269795731,-1.51581558620191,0.164626924376657,2.80409527069632e-21,6.42663584852714e-19
"NM_019190",99.5861667014509,2.98025044017361,0.325319159290012,3.2281663357155e-21,7.24756282840944e-19
"NM_017255",1356.03938063486,-1.57233287878194,0.171402889382208,3.61989680139664e-21,7.96449694243289e-19
"NM_001009684",6528.47446378773,1.4461078578449,0.157966060893908,5.12278023256117e-21,1.10501383016481e-18
"NM_145096",377.72068309575,1.76736187099777,0.194017437426834,6.49628691502099e-21,1.3743394683105e-18
"NM_133401",238.751066041134,-3.61161763750988,0.40030794500383,1.03566442107576e-20,2.14968760306688e-18
"NM_001191667",176.111506617822,2.08072367096517,0.232842425564511,2.91831032049786e-20,5.94524663625871e-18
"NM_053524",605.928084535826,-2.72349653455024,0.306108136757932,3.20220925646193e-20,6.40500073278867e-18
"NM_001170487",842.405055049436,-1.1576848103403,0.129368111136002,4.13985629033985e-20,8.13259983036227e-18
"NM_013079",492.722878223485,3.36881862032525,0.380380374936534,4.7407178877459e-20,9.14958552334959e-18
"NM_022519",219284.170444849,-1.27312576821397,0.14278306474019,5.33874019803398e-20,1.01261173997538e-17
"NM_053398",428.719430613506,1.82919994388257,0.206812504908134,6.95888771948377e-20,1.29753769156002e-17
"NM_013059",535.796906891822,1.42573513305114,0.16158218207119,1.01353711075454e-19,1.85832029256844e-17
"NM_022229",10271.4749335093,1.29577002161488,0.14692766410516,1.19593067982484e-19,2.15679236209067e-17
"NM_001100640",141.288621527567,1.98426991223262,0.228667726451058,3.1102907744461e-19,5.5187594854325e-17
"NM_013155",235.702969087804,3.10994078424531,0.360047067236208,3.75760429706576e-19,6.56149283682863e-17
"NM_053580",1456.04658721691,1.95909590843952,0.228308377099674,6.55979608341744e-19,1.12756744865118e-16
"NM_198779",1030.24140821986,1.58768980061681,0.184844569253936,7.29515219808698e-19,1.23467645124854e-16
"NM_001191863",4468.408715781,-1.17753953960516,0.137155160616947,9.91199161839141e-19,1.65214878475642e-16
"NM_001135600",6261.55965612066,-1.50619729758879,0.176302023939369,1.09436540244659e-18,1.79688265556939e-16
"NM_001039023",2264.96706325677,-1.17500943337008,0.137496473251744,1.49178142247159e-18,2.4133952100897e-16
"NM_053623",15923.9072808816,1.10236842011268,0.129419321797094,2.08315568413522e-18,3.32127473640167e-16
"NM_022207",239.09555612705,2.25030665056056,0.266773768467387,2.13039402670669e-18,3.34806638397147e-16
"NM_080783",506.164599857125,2.06507350621332,0.24471797873136,2.22956046561335e-18,3.45456263129753e-16
"NM_001130553",354.027084048519,-2.3135024347237,0.278339818094956,5.71123582047527e-18,8.72629239736784e-16
"NM_001127541",258.532551721722,1.49658960969768,0.179174844752589,6.0359797829336e-18,9.09613884822638e-16
"NM_153313",5362.93799964475,-1.22624347584332,0.146595897719159,6.38004962250104e-18,9.48471971582891e-16
"NM_053626",1348.20600719509,-2.12354962828964,0.25669684481291,8.26494023472888e-18,1.21230143363003e-15
"NM_013111",103.844575255259,3.19475939784224,0.386478706736962,8.40314351648017e-18,1.2163550240105e-15
"NM_001108307",125.187899629101,2.22931816774156,0.271765075544084,1.56419637075603e-17,2.234769386323e-15
"NM_001109571",661.729985228915,1.41169839118161,0.171363694213651,1.65203347288685e-17,2.33000259426003e-15
"NM_001191781",1353.28017465971,-1.40607014165669,0.170878905952445,1.67681212592254e-17,2.335013949022e-15
"NM_001048185",2179.60626647025,-1.04609072019567,0.126816873539546,2.09345630674673e-17,2.87876410381509e-15
"NM_172336",8656.2285379062,-1.92727581236822,0.24105148394773,8.61341643915021e-17,1.16982955860607e-14
"NM_001004271",10284.6538859781,-1.33205138363628,0.165956995208611,9.61017831183805e-17,1.28928745864062e-14
"NM_001011952",1424.34683618333,-1.24234773192302,0.154813864250915,1.03431936353126e-16,1.37090931544668e-14
"NM_198780",29911.3262764476,-2.37492397863528,0.298586363890226,1.05029849025851e-16,1.37551591563498e-14
"NM_017080",6507.70493163322,-1.95257540608302,0.246510571931378,1.55924333484666e-16,2.01802775607625e-14
"NM_019262",1051.32085752641,-1.33063367652445,0.168044237457801,2.28954911158788e-16,2.92875927634631e-14
"NM_001106162",89.4386544322834,3.68722453887555,0.471780051501344,2.84039785150515e-16,3.59163411085152e-14
"NM_001109430",545.274659523422,-3.69736742158575,0.475585651460966,3.75034280093803e-16,4.68835467649083e-14
"NM_001191826",628.379572927365,-1.34615640660228,0.17262830028427,5.27987647986676e-16,6.5262832758443e-14
"NM_001013112",1854.22606024154,1.44428082529805,0.185382080866745,5.93593995645e-16,7.25569727343405e-14
"NM_031065",569.37968512242,1.05042049073111,0.135928012632775,1.48378738374261e-15,1.79375219874203e-13
"NM_017170",11235.1511324136,-1.42975093897915,0.187842309995006,2.35328733220363e-15,2.81396890669262e-13
"NM_181381",644.740674044598,2.259105956776,0.298688325963527,2.52808655835207e-15,2.99048174499259e-13
"NM_013200",3423.63021616497,3.83946158016085,0.509984380230816,2.6701347015236e-15,3.12490977143203e-13
"NM_022215",31778.9797890752,1.53574054009214,0.20260358604205,2.81413879870277e-15,3.25877272889781e-13
"NM_057186",19525.5854772934,1.12942210830229,0.14669672505943,3.07475250534599e-15,3.52347419909492e-13
"NM_001025035",184.489020124801,1.34595251523603,0.17775590963666,3.66583471443861e-15,4.15751007149888e-13
"NM_012966",3435.75770952289,1.0191986527246,0.134643322796031,5.24513255399413e-15,5.88792890066219e-13
"NM_001318416",399.775722317067,1.26657906190054,0.168948863925462,6.76872126553882e-15,7.52148511537299e-13
"NM_053505",46.3107004304211,3.38036177975993,0.45210945820953,7.00526222004861e-15,7.70648896827547e-13
"NM_001025624",700.992667603378,1.26400299939563,0.168979415315731,8.03223440652959e-15,8.74877333725069e-13
"NM_012782",4144.07990230869,0.891895460757158,0.118995815985902,8.40318135660531e-15,9.06307824549167e-13
"NM_001109060",1110.23351132476,-1.3384161022843,0.179905306280473,9.55095712394943e-15,1.02009785748124e-12
"NM_001012229",913.620054243573,1.5447774919862,0.208248686716547,9.9074720179388e-15,1.0380199968509e-12
"NM_031565",3638.66461034926,-1.18124796767719,0.158393914229965,9.89162351089332e-15,1.0380199968509e-12
"NM_017189",4844.15809907686,-0.778830270848649,0.103465456800191,1.06201025003075e-14,1.10218629816871e-12
"NM_030844",158.909568277587,2.32165812795429,0.3151687729882,1.19989868363196e-14,1.23365284286311e-12
"NM_001034927",806.114852772953,-1.1729522291142,0.1582112527868,1.36669231710345e-14,1.39212797967176e-12
"NM_198750",310.280463997711,-3.59609097671219,0.492448122533317,1.38478682674781e-14,1.39761833771125e-12
"NM_001107812",177.615904929347,1.53141879029237,0.209990763441539,2.5624667056567e-14,2.5626996571754e-12
"NM_001012206",585.876359583227,-1.55835421364738,0.214737282019304,3.17439873670683e-14,3.14608653175782e-12
"NM_024362",651.492241617065,-1.8513391615035,0.255916341772102,3.22463509287887e-14,3.16734023721076e-12
"NM_001109606",3707.73441951222,0.858378184334465,0.117028137546936,4.09987539523422e-14,3.99139196663466e-12
"NM_001012137",1203.40818482564,0.943781007087524,0.130027522670853,6.25798401582295e-14,5.94713340497564e-12
"NM_013026",2316.89184546798,-1.61263036446961,0.225327764098905,6.27095241320947e-14,5.94713340497564e-12
"NM_001109290",244.425928758285,1.3344605682117,0.185558913360355,6.17191208114979e-14,5.94713340497564e-12
"NM_012730",27723.27039456,-0.915621562799494,0.126217959238122,6.39320798383366e-14,6.01125478890206e-12
"NM_001107919",337.428154593938,1.13576571205484,0.157743558296374,7.26480536278952e-14,6.77289184712267e-12
"NM_001170589",321.729762582679,1.13352191518845,0.157609172416409,7.73708820518393e-14,7.15258044917886e-12
"NM_001134777",191.95491404347,1.66909233172014,0.234464169476937,8.26648264321295e-14,7.57829796316547e-12
"NM_001109419",3904.96907590134,-1.24470196200197,0.174012957058441,8.58519723224005e-14,7.80543427701428e-12
"NM_022287",4788.49253755391,-1.42903864219853,0.200756942420089,9.34862578807291e-14,8.42985510611394e-12
"NM_001109398",61.7677238104328,2.51534046282025,0.355468099186926,9.50263356662135e-14,8.49906275336597e-12
"NM_017061",115.53508042199,-2.83384979096491,0.405404696295853,1.55338394313418e-13,1.37812715793702e-11
"NM_001004415",36.3498599450132,3.49913622330305,0.495912783979576,2.1327334861015e-13,1.87697608644821e-11
"NM_001033656",4453.17724962439,-1.05429847787203,0.149803644176865,2.49782927513588e-13,2.18084284569601e-11
"NM_001013036",426.78701258443,1.07191343375035,0.15233862221404,2.57255840792278e-13,2.22840275949279e-11
"NM_001106275",4248.25988479463,-2.39879938799929,0.346863198942894,2.6561133827485e-13,2.28280494715752e-11
"NM_001025693",111.073266376675,2.04968296846161,0.296829058593072,3.27044418980066e-13,2.78900438232536e-11
"NM_001191856",177.702348573034,1.64496758725034,0.237747955972662,3.52934492767793e-13,2.98664027302961e-11
"NM_013084",1650.99501526863,-1.40931253389831,0.204872185824108,5.28097606496398e-13,4.43481051073808e-11
"NM_001085352",9615.29249519822,-1.49199904619781,0.217796547522883,5.91324586723349e-13,4.928152862533e-11
"NM_001134873",413.81005725666,1.47118869914175,0.214651946157055,6.14821718248961e-13,5.08545392665926e-11
"NM_001106566",828.400613632311,1.04692233904264,0.151448967587171,6.2653861435011e-13,5.14369499736236e-11
"NM_001008524",1132.63694317013,-1.1655371140263,0.169303750315619,6.44775665686648e-13,5.25420525793986e-11
"NM_130426",728.140753453041,-1.49539797634885,0.219442916742222,7.71947432598771e-13,6.24426007795521e-11
"NM_017281",2615.87103722361,0.869971377115259,0.125716303787184,8.06217060873382e-13,6.47386415085261e-11
"NR_038098",389.388182203162,1.13259259284339,0.165211385243083,8.57857714429232e-13,6.83861791046086e-11
"NM_001130536",326.137312224682,1.22623412050769,0.179375369140338,8.69412214373516e-13,6.88086602181514e-11
"NM_001168543",846.304987108148,-1.50397984011489,0.221659335833038,9.3461514063643e-13,7.34407225867241e-11
"NM_012758",197.64748769594,-1.24204486280916,0.182306800875715,9.88912087862521e-13,7.71561835359971e-11
"NM_138515",821.318933934462,-1.24419419732744,0.182892408012143,1.035682346731e-12,7.96751153593551e-11
"NM_001106903",858.045672648199,1.2414887871354,0.182368378164299,1.02999017393901e-12,7.96751153593551e-11
"NM_001107248",2012.65733509844,0.968546381235846,0.141503267068421,1.14143924949151e-12,8.72012026642785e-11
"NM_001034127",405.317773038761,1.39737144320197,0.207613405833707,1.57371302186352e-12,1.19395978989797e-10
"NM_001107970",56.858429010106,2.79928339825972,0.422243693177033,1.98578774095131e-12,1.49627746152091e-10
"NM_001172103",97.2658010061634,-2.2118083404368,0.333499755460209,2.14001967000186e-12,1.60152084283609e-10
"NM_012733",1675.20887277939,-1.32627205466729,0.198786389471687,2.36730666653041e-12,1.75964463773656e-10
"NM_019373",4881.87128499886,-1.04752103746144,0.156007798615644,2.43572161271425e-12,1.79834721217916e-10
"NM_017052",12727.0713227309,-0.946428077328283,0.140606374657759,2.58018133813502e-12,1.89230499338822e-10
"NM_001002804",1255.48827825667,-1.16394657921938,0.17423838444944,2.63555954827249e-12,1.91665007721442e-10
"NM_021767",117.815128884996,3.22441109335217,0.491528956542925,2.64822117749833e-12,1.91665007721442e-10
"NM_031987",25018.2964700428,2.5807494547117,0.392917983748882,2.77319633512458e-12,1.9939825413533e-10
"NM_001106492",181.207322692443,1.26875323710836,0.191060742949729,3.28768943809598e-12,2.34856308496713e-10
"NM_001191068",185.295225619012,2.1123361496736,0.321708126514027,3.36620426031735e-12,2.38913632695169e-10
