"","genes","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","NM_017158",2723.53691264361,-6.16355315919778,0.307263990448529,1.07583985947571e-90,2.36706285881847e-87
"2","NM_131903",9517.62868828989,-5.13354857429115,0.251710551541188,1.08672110180712e-93,3.59046440628239e-90
"3","NM_019157",439.505179151196,5.98867343874264,0.292377358869404,1.30550473821739e-93,3.59046440628239e-90
"4","NM_001014063",2844.46920669594,-4.18158171088121,0.225831038635805,8.37968060639434e-78,1.31692666215634e-74
"5","NM_024162",2298.89748611129,7.83644333097961,0.261843250722944,1.02621367103166e-196,1.12893765950193e-192
"6","NM_001013098",2748.58776731857,-5.39256059869206,0.301899969041507,1.16868713975758e-72,1.42852524716368e-69
"7","NM_053883",994.312154361987,-3.05984216571676,0.157708387659913,4.54543468467035e-85,8.33405449434308e-82
"8","NM_012600",13169.1266579659,3.83592287152464,0.207276315527496,2.7219871413347e-77,3.74307256772788e-74
"9","NM_012737",2516.93729841867,-6.72217289923694,0.242294129102705,2.41908377212892e-170,1.33061702885951e-166
"10","NM_001013975",954.782068431303,-3.83557640085371,0.217370487312055,6.54059802961025e-71,7.19531189237423e-68
