Run,mode_of_action,chemical,vehicle,route
SRR1177997,AhR,3-METHYLCHOLANTHRENE,CMC_.5_%,ORAL_GAVAGE
SRR1177999,AhR,3-METHYLCHOLANTHRENE,CMC_.5_%,ORAL_GAVAGE
SRR1178002,AhR,3-METHYLCHOLANTHRENE,CMC_.5_%,ORAL_GAVAGE
SRR1178014,CAR/PXR,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
SRR1178021,CAR/PXR,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
SRR1178047,CAR/PXR,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
SRR1177963,PPARA,PIRINIXIC_ACID,CMC_.5_%,ORAL_GAVAGE
SRR1177964,PPARA,PIRINIXIC_ACID,CMC_.5_%,ORAL_GAVAGE
SRR1177965,PPARA,PIRINIXIC_ACID,CMC_.5_%,ORAL_GAVAGE
SRR1178030,Control,Vehicle,CMC_.5_%,ORAL_GAVAGE
SRR1178040,Control,Vehicle,CMC_.5_%,ORAL_GAVAGE
SRR1178056,Control,Vehicle,CMC_.5_%,ORAL_GAVAGE
SRR1178064,Control,Vehicle,CORN_OIL_100_%,ORAL_GAVAGE
SRR1178074,Control,Vehicle,CORN_OIL_100_%,ORAL_GAVAGE
SRR1178075,Control,Vehicle,CORN_OIL_100_%,ORAL_GAVAGE
